party,total_votes,seniority,ideal_point,rss_url,domain,votes_with_party_pct,facebook_id,google_entity_id,id,state,facebook_account,missed_votes,url,missed_votes_pct,api_uri,thomas_id,middle_name,first_name,last_name,fullname,dw_nominate,next_election,total_present,twitter_account
D,502,3,,,www.heitkamp.senate.gov,78.6,5.01811E+14,kg:/m/02f501,H001069,ND,SenatorHeidiHeitkamp,2,http://www.heitkamp.senate.gov,0.4,https://api.propublica.org/congress/v1/members/H001069.json,2174,,Heidi,Heitkamp,Heidi Heitkamp,,2018,0,SenatorHeitkamp
R,502,23,,,www.inhofe.senate.gov,93.25,55018309421,kg:/m/021kpl,I000024,OK,jiminhofe,13,http://www.inhofe.senate.gov,2.59,https://api.propublica.org/congress/v1/members/I000024.json,583,M.,James,Inhofe,James Inhofe,,2020,0,InhofePress
R,502,11,,http://www.isakson.senate.gov/public/?a=RSS.Feed,,92.74,,kg:/m/02556q,I000055,GA,,6,http://www.isakson.senate.gov,1.2,https://api.propublica.org/congress/v1/members/I000055.json,1608,,Johnny,Isakson,Johnny Isakson,,2016,0,SenatorIsakson
R,502,5,,,www.ronjohnson.senate.gov,92.59,1.86182E+14,kg:/m/0cmdpzc,J000293,WI,senronjohnson,16,http://www.ronjohnson.senate.gov,3.19,https://api.propublica.org/congress/v1/members/J000293.json,2086,,Ron,Johnson,Ron Johnson,,2016,0,SenRonJohnson
R,502,7,,https://www.kirk.senate.gov/rss/,,77.07,1.16382E+14,kg:/m/0256rr,K000360,IL,SenatorKirk,31,https://www.kirk.senate.gov,6.18,https://api.propublica.org/congress/v1/members/K000360.json,1647,Steven,Mark,Kirk,Mark Kirk,,2016,0,SenatorKirk
D,502,9,,,klobuchar.senate.gov,94.13,,kg:/m/05fbpt,K000367,MN,,8,http://www.klobuchar.senate.gov,1.59,https://api.propublica.org/congress/v1/members/K000367.json,1826,,Amy,Klobuchar,Amy Klobuchar,,2018,0,amyklobuchar
I,502,3,,http://www.king.senate.gov/rss/feeds/?type=all,king.senate.gov,88.39,1.42803E+14,kg:/m/02hfx0,K000383,ME,SenatorAngusSKingJr,11,http://www.king.senate.gov,2.19,https://api.propublica.org/congress/v1/members/K000383.json,2185,,Angus,King,Angus King,,2018,0,SenAngusKing
D,502,3,,http://www.kaine.senate.gov/rss/feeds/,kaine.senate.gov,91.56,4.82779E+14,kg:/m/053f8h,K000384,VA,SenatorKaine,16,http://www.kaine.senate.gov,3.19,https://api.propublica.org/congress/v1/members/K000384.json,2176,,Tim,Kaine,Tim Kaine,,2018,0,timkaine
D,502,41,,,,95.34,1.78569E+14,kg:/m/0202kf,L000174,VT,SenatorPatrickLeahy,8,http://www.leahy.senate.gov,1.59,https://api.propublica.org/congress/v1/members/L000174.json,1383,J.,Patrick,Leahy,Patrick Leahy,,2016,0,SenatorLeahy
R,502,1,,,,87.82,1.30873E+14,kg:/m/0dgrrx6,L000575,OK,RepLankford,1,http://www.lankford.senate.gov,0.2,https://api.propublica.org/congress/v1/members/L000575.json,2050,,James,Lankford,James Lankford,,2020,0,SenatorLankford
R,502,5,,,www.lee.senate.gov,73.61,1.78081E+14,kg:/m/09v5q9x,L000577,UT,senatormikelee,36,http://www.lee.senate.gov,7.17,https://api.propublica.org/congress/v1/members/L000577.json,2080,,Mike,Lee,Mike Lee,,2016,0,SenMikeLee
